"REF_DATE","GEO","DGUID","Gender","Age group","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Canada","2016A000011124","Total, all genders","20 to 29 years","Total, by hospitalization status","Number","223","units","0","v1478293819","1.1.3.1","740937","","","","0"
"2023","Canada","2016A000011124","Total, all genders","20 to 29 years","Yes, hospitalized","Number","223","units","0","v1478293820","1.1.3.2","9711","","","","0"
"2023","Canada","2016A000011124","Total, all genders","20 to 29 years","No, hospitalized","Number","223","units","0","v1478293821","1.1.3.3","257157","","","","0"
"2023","Canada","2016A000011124","Total, all genders","20 to 29 years","Not stated, hospitalized","Number","223","units","0","v1478293822","1.1.3.4","474069","","","","0"
"2023","Canada","2016A000011124","Total, all genders","20 to 29 years","Total, by intensive care unit admittance","Number","223","units","0","v1478293823","1.1.3.5","740937","","","","0"
"2023","Canada","2016A000011124","Total, all genders","20 to 29 years","Yes, intensive care unit","Number","223","units","0","v1478293824","1.1.3.6","950","","","","0"
"2023","Canada","2016A000011124","Total, all genders","20 to 29 years","No, intensive care unit","Number","223","units","0","v1478293825","1.1.3.7","265918","","","","0"
"2023","Canada","2016A000011124","Total, all genders","20 to 29 years","Not stated, intensive care unit","Number","223","units","0","v1478293826","1.1.3.8","474069","","","","0"
"2023","Canada","2016A000011124","Total, all genders","20 to 29 years","Total, by death status","Number","223","units","0","v1478293827","1.1.3.9","740937","","","","0"
"2023","Canada","2016A000011124","Total, all genders","20 to 29 years","Yes, deceased","Number","223","units","0","v1478293828","1.1.3.10","0","","","","0"
"2023","Canada","2016A000011124","Total, all genders","20 to 29 years","No, not deceased","Number","223","units","0","v1478293829","1.1.3.11","478770","","","","0"
"2023","Canada","2016A000011124","Total, all genders","20 to 29 years","Not stated, deceased","Number","223","units","0","v1478293830","1.1.3.12","262167","","","","0"
"2023","Canada","2016A000011124","Total, all genders","30 to 39 years","Total, by hospitalization status","Number","223","units","0","v1478293831","1.1.4.1","714798","","","","0"
"2023","Canada","2016A000011124","Total, all genders","30 to 39 years","Yes, hospitalized","Number","223","units","0","v1478293832","1.1.4.2","14433","","","","0"
"2023","Canada","2016A000011124","Total, all genders","30 to 39 years","No, hospitalized","Number","223","units","0","v1478293833","1.1.4.3","258680","","","","0"
"2023","Canada","2016A000011124","Total, all genders","30 to 39 years","Not stated, hospitalized","Number","223","units","0","v1478293834","1.1.4.4","441685","","","","0"
"2023","Canada","2016A000011124","Total, all genders","30 to 39 years","Total, by intensive care unit admittance","Number","223","units","0","v1478293835","1.1.4.5","714798","","","","0"
"2023","Canada","2016A000011124","Total, all genders","30 to 39 years","Yes, intensive care unit","Number","223","units","0","v1478293836","1.1.4.6","1820","","","","0"
"2023","Canada","2016A000011124","Total, all genders","30 to 39 years","No, intensive care unit","Number","223","units","0","v1478293837","1.1.4.7","271293","","","","0"
"2023","Canada","2016A000011124","Total, all genders","30 to 39 years","Not stated, intensive care unit","Number","223","units","0","v1478293838","1.1.4.8","441685","","","","0"
"2023","Canada","2016A000011124","Total, all genders","30 to 39 years","Total, by death status","Number","223","units","0","v1478293839","1.1.4.9","714798","","","","0"
"2023","Canada","2016A000011124","Total, all genders","30 to 39 years","Yes, deceased","Number","223","units","0","v1478293840","1.1.4.10","0","","","","0"
"2023","Canada","2016A000011124","Total, all genders","30 to 39 years","No, not deceased","Number","223","units","0","v1478293841","1.1.4.11","453232","","","","0"
"2023","Canada","2016A000011124","Total, all genders","30 to 39 years","Not stated, deceased","Number","223","units","0","v1478293842","1.1.4.12","261566","","","","0"
"2023","Canada","2016A000011124","Total, all genders","40 to 49 years","Total, by hospitalization status","Number","223","units","0","v1478293843","1.1.5.1","627139","","","","0"
"2023","Canada","2016A000011124","Total, all genders","40 to 49 years","Yes, hospitalized","Number","223","units","0","v1478293844","1.1.5.2","15234","","","","0"
"2023","Canada","2016A000011124","Total, all genders","40 to 49 years","No, hospitalized","Number","223","units","0","v1478293845","1.1.5.3","211764","","","","0"
"2023","Canada","2016A000011124","Total, all genders","40 to 49 years","Not stated, hospitalized","Number","223","units","0","v1478293846","1.1.5.4","400141","","","","0"
"2023","Canada","2016A000011124","Total, all genders","40 to 49 years","Total, by intensive care unit admittance","Number","223","units","0","v1478293847","1.1.5.5","627139","","","","0"
"2023","Canada","2016A000011124","Total, all genders","40 to 49 years","Yes, intensive care unit","Number","223","units","0","v1478293848","1.1.5.6","2878","","","","0"
"2023","Canada","2016A000011124","Total, all genders","40 to 49 years","No, intensive care unit","Number","223","units","0","v1478293849","1.1.5.7","224120","","","","0"
"2023","Canada","2016A000011124","Total, all genders","40 to 49 years","Not stated, intensive care unit","Number","223","units","0","v1478293850","1.1.5.8","400141","","","","0"
"2023","Canada","2016A000011124","Total, all genders","40 to 49 years","Total, by death status","Number","223","units","0","v1478293851","1.1.5.9","627139","","","","0"
"2023","Canada","2016A000011124","Total, all genders","40 to 49 years","Yes, deceased","Number","223","units","0","v1478293852","1.1.5.10","0","","","","0"
"2023","Canada","2016A000011124","Total, all genders","40 to 49 years","No, not deceased","Number","223","units","0","v1478293853","1.1.5.11","387125","","","","0"
"2023","Canada","2016A000011124","Total, all genders","40 to 49 years","Not stated, deceased","Number","223","units","0","v1478293854","1.1.5.12","240014","","","","0"
"2023","Canada","2016A000011124","Total, all genders","50 to 59 years","Total, by hospitalization status","Number","223","units","0","v1478293855","1.1.6.1","545407","","","","0"
"2023","Canada","2016A000011124","Total, all genders","50 to 59 years","Yes, hospitalized","Number","223","units","0","v1478293856","1.1.6.2","25419","","","","0"
"2023","Canada","2016A000011124","Total, all genders","50 to 59 years","No, hospitalized","Number","223","units","0","v1478293857","1.1.6.3","166148","","","","0"
"2023","Canada","2016A000011124","Total, all genders","50 to 59 years","Not stated, hospitalized","Number","223","units","0","v1478293858","1.1.6.4","353840","","","","0"
"2023","Canada","2016A000011124","Total, all genders","50 to 59 years","Total, by intensive care unit admittance","Number","223","units","0","v1478293859","1.1.6.5","545407","","","","0"
"2023","Canada","2016A000011124","Total, all genders","50 to 59 years","Yes, intensive care unit","Number","223","units","0","v1478293860","1.1.6.6","6030","","","","0"
"2023","Canada","2016A000011124","Total, all genders","50 to 59 years","No, intensive care unit","Number","223","units","0","v1478293861","1.1.6.7","185537","","","","0"
"2023","Canada","2016A000011124","Total, all genders","50 to 59 years","Not stated, intensive care unit","Number","223","units","0","v1478293862","1.1.6.8","353840","","","","0"
"2023","Canada","2016A000011124","Total, all genders","50 to 59 years","Total, by death status","Number","223","units","0","v1478293863","1.1.6.9","545407","","","","0"
"2023","Canada","2016A000011124","Total, all genders","50 to 59 years","Yes, deceased","Number","223","units","0","v1478293864","1.1.6.10","1672","","","","0"
"2023","Canada","2016A000011124","Total, all genders","50 to 59 years","No, not deceased","Number","223","units","0","v1478293865","1.1.6.11","340730","","","","0"
"2023","Canada","2016A000011124","Total, all genders","50 to 59 years","Not stated, deceased","Number","223","units","0","v1478293866","1.1.6.12","203005","","","","0"
"2023","Canada","2016A000011124","Total, all genders","60 to 69 years","Total, by hospitalization status","Number","223","units","0","v1478293867","1.1.7.1","365377","","","","0"
"2023","Canada","2016A000011124","Total, all genders","60 to 69 years","Yes, hospitalized","Number","223","units","0","v1478293868","1.1.7.2","39523","","","","0"
"2023","Canada","2016A000011124","Total, all genders","60 to 69 years","No, hospitalized","Number","223","units","0","v1478293869","1.1.7.3","106666","","","","0"
"2023","Canada","2016A000011124","Total, all genders","60 to 69 years","Not stated, hospitalized","Number","223","units","0","v1478293870","1.1.7.4","219188","","","","0"
"2023","Canada","2016A000011124","Total, all genders","60 to 69 years","Total, by intensive care unit admittance","Number","223","units","0","v1478293871","1.1.7.5","365377","","","","0"
"2023","Canada","2016A000011124","Total, all genders","60 to 69 years","Yes, intensive care unit","Number","223","units","0","v1478293872","1.1.7.6","8892","","","","0"
"2023","Canada","2016A000011124","Total, all genders","60 to 69 years","No, intensive care unit","Number","223","units","0","v1478293873","1.1.7.7","137297","","","","0"
"2023","Canada","2016A000011124","Total, all genders","60 to 69 years","Not stated, intensive care unit","Number","223","units","0","v1478293874","1.1.7.8","219188","","","","0"
"2023","Canada","2016A000011124","Total, all genders","60 to 69 years","Total, by death status","Number","223","units","0","v1478293875","1.1.7.9","365377","","","","0"
"2023","Canada","2016A000011124","Total, all genders","60 to 69 years","Yes, deceased","Number","223","units","0","v1478293876","1.1.7.10","4112","","","","0"
"2023","Canada","2016A000011124","Total, all genders","60 to 69 years","No, not deceased","Number","223","units","0","v1478293877","1.1.7.11","222652","","","","0"
"2023","Canada","2016A000011124","Total, all genders","60 to 69 years","Not stated, deceased","Number","223","units","0","v1478293878","1.1.7.12","138613","","","","0"
"2023","Canada","2016A000011124","Total, all genders","70 to 79 years","Total, by hospitalization status","Number","223","units","0","v1478293879","1.1.8.1","257755","","","","0"
"2023","Canada","2016A000011124","Total, all genders","70 to 79 years","Yes, hospitalized","Number","223","units","0","v1478293880","1.1.8.2","54596","","","","0"
"2023","Canada","2016A000011124","Total, all genders","70 to 79 years","No, hospitalized","Number","223","units","0","v1478293881","1.1.8.3","60307","","","","0"
"2023","Canada","2016A000011124","Total, all genders","70 to 79 years","Not stated, hospitalized","Number","223","units","0","v1478293882","1.1.8.4","142852","","","","0"
"2023","Canada","2016A000011124","Total, all genders","70 to 79 years","Total, by intensive care unit admittance","Number","223","units","0","v1478293883","1.1.8.5","257755","","","","0"
"2023","Canada","2016A000011124","Total, all genders","70 to 79 years","Yes, intensive care unit","Number","223","units","0","v1478293884","1.1.8.6","8642","","","","0"
"2023","Canada","2016A000011124","Total, all genders","70 to 79 years","No, intensive care unit","Number","223","units","0","v1478293885","1.1.8.7","106261","","","","0"
"2023","Canada","2016A000011124","Total, all genders","70 to 79 years","Not stated, intensive care unit","Number","223","units","0","v1478293886","1.1.8.8","142852","","","","0"
"2023","Canada","2016A000011124","Total, all genders","70 to 79 years","Total, by death status","Number","223","units","0","v1478293887","1.1.8.9","257755","","","","0"
"2023","Canada","2016A000011124","Total, all genders","70 to 79 years","Yes, deceased","Number","223","units","0","v1478293888","1.1.8.10","7727","","","","0"
"2023","Canada","2016A000011124","Total, all genders","70 to 79 years","No, not deceased","Number","223","units","0","v1478293889","1.1.8.11","140942","","","","0"
"2023","Canada","2016A000011124","Total, all genders","70 to 79 years","Not stated, deceased","Number","223","units","0","v1478293890","1.1.8.12","109086","","","","0"
"2023","Canada","2016A000011124","Total, all genders","80 years and over","Total, by hospitalization status","Number","223","units","0","v1478293891","1.1.9.1","352804","","","","0"
"2023","Canada","2016A000011124","Total, all genders","80 years and over","Yes, hospitalized","Number","223","units","0","v1478293892","1.1.9.2","81929","","","","0"
"2023","Canada","2016A000011124","Total, all genders","80 years and over","No, hospitalized","Number","223","units","0","v1478293893","1.1.9.3","81901","","","","0"
"2023","Canada","2016A000011124","Total, all genders","80 years and over","Not stated, hospitalized","Number","223","units","0","v1478293894","1.1.9.4","188974","","","","0"
"2023","Canada","2016A000011124","Total, all genders","80 years and over","Total, by intensive care unit admittance","Number","223","units","0","v1478293895","1.1.9.5","352804","","","","0"
"2023","Canada","2016A000011124","Total, all genders","80 years and over","Yes, intensive care unit","Number","223","units","0","v1478293896","1.1.9.6","4854","","","","0"
"2023","Canada","2016A000011124","Total, all genders","80 years and over","No, intensive care unit","Number","223","units","0","v1478293897","1.1.9.7","158976","","","","0"
"2023","Canada","2016A000011124","Total, all genders","80 years and over","Not stated, intensive care unit","Number","223","units","0","v1478293898","1.1.9.8","188974","","","","0"
"2023","Canada","2016A000011124","Total, all genders","80 years and over","Total, by death status","Number","223","units","0","v1478293899","1.1.9.9","352804","","","","0"
"2023","Canada","2016A000011124","Total, all genders","80 years and over","Yes, deceased","Number","223","units","0","v1478293900","1.1.9.10","20194","","","","0"
"2023","Canada","2016A000011124","Total, all genders","80 years and over","No, not deceased","Number","223","units","0","v1478293901","1.1.9.11","184115","","","","0"
"2023","Canada","2016A000011124","Total, all genders","80 years and over","Not stated, deceased","Number","223","units","0","v1478293902","1.1.9.12","148495","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Not stated, age group","Total, by hospitalization status","Number","223","units","0","v1478293903","1.1.10.1","2931","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Not stated, age group","Yes, hospitalized","Number","223","units","0","v1478293904","1.1.10.2","1089","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Not stated, age group","No, hospitalized","Number","223","units","0","v1478293905","1.1.10.3","665","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Not stated, age group","Not stated, hospitalized","Number","223","units","0","v1478293906","1.1.10.4","1177","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Not stated, age group","Total, by intensive care unit admittance","Number","223","units","0","v1478293907","1.1.10.5","2931","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Not stated, age group","Yes, intensive care unit","Number","223","units","0","v1478293908","1.1.10.6","698","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Not stated, age group","No, intensive care unit","Number","223","units","0","v1478293909","1.1.10.7","1056","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Not stated, age group","Not stated, intensive care unit","Number","223","units","0","v1478293910","1.1.10.8","1177","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Not stated, age group","Total, by death status","Number","223","units","0","v1478293911","1.1.10.9","2931","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Not stated, age group","Yes, deceased","Number","223","units","0","v1478293912","1.1.10.10","1247","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Not stated, age group","No, not deceased","Number","223","units","0","v1478293913","1.1.10.11","970","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Not stated, age group","Not stated, deceased","Number","223","units","0","v1478293914","1.1.10.12","714","","","","0"
"2023","Canada","2016A000011124","Male","Total, all age groups","Total, by hospitalization status","Number","223","units","0","v1478293915","1.2.1.1","1951687","","","","0"
"2023","Canada","2016A000011124","Male","Total, all age groups","Yes, hospitalized","Number","223","units","0","v1478293916","1.2.1.2","132217","","","","0"
"2023","Canada","2016A000011124","Male","Total, all age groups","No, hospitalized","Number","223","units","0","v1478293917","1.2.1.3","665117","","","","0"
"2023","Canada","2016A000011124","Male","Total, all age groups","Not stated, hospitalized","Number","223","units","0","v1478293918","1.2.1.4","1154353","","","","0"
"2023","Canada","2016A000011124","Male","Total, all age groups","Total, by intensive care unit admittance","Number","223","units","0","v1478293919","1.2.1.5","1951687","","","","0"
"2023","Canada","2016A000011124","Male","Total, all age groups","Yes, intensive care unit","Number","223","units","0","v1478293920","1.2.1.6","21967","","","","0"
"2023","Canada","2016A000011124","Male","Total, all age groups","No, intensive care unit","Number","223","units","0","v1478293921","1.2.1.7","775367","","","","0"
"2023","Canada","2016A000011124","Male","Total, all age groups","Not stated, intensive care unit","Number","223","units","0","v1478293922","1.2.1.8","1154353","","","","0"
"2023","Canada","2016A000011124","Male","Total, all age groups","Total, by death status","Number","223","units","0","v1478293923","1.2.1.9","1951687","","","","0"
"2023","Canada","2016A000011124","Male","Total, all age groups","Yes, deceased","Number","223","units","0","v1478293924","1.2.1.10","18933","","","","0"
"2023","Canada","2016A000011124","Male","Total, all age groups","No, not deceased","Number","223","units","0","v1478293925","1.2.1.11","1202136","","","","0"
"2023","Canada","2016A000011124","Male","Total, all age groups","Not stated, deceased","Number","223","units","0","v1478293926","1.2.1.12","730618","","","","0"
"2023","Canada","2016A000011124","Male","0 to 19 years","Total, by hospitalization status","Number","223","units","0","v1478293927","1.2.2.1","368726","","","","0"
"2023","Canada","2016A000011124","Male","0 to 19 years","Yes, hospitalized","Number","223","units","0","v1478293928","1.2.2.2","5267","","","","0"
"2023","Canada","2016A000011124","Male","0 to 19 years","No, hospitalized","Number","223","units","0","v1478293929","1.2.2.3","141726","","","","0"
"2023","Canada","2016A000011124","Male","0 to 19 years","Not stated, hospitalized","Number","223","units","0","v1478293930","1.2.2.4","221733","","","","0"
"2023","Canada","2016A000011124","Male","0 to 19 years","Total, by intensive care unit admittance","Number","223","units","0","v1478293931","1.2.2.5","368726","","","","0"
"2023","Canada","2016A000011124","Male","0 to 19 years","Yes, intensive care unit","Number","223","units","0","v1478293932","1.2.2.6","551","","","","0"
"2023","Canada","2016A000011124","Male","0 to 19 years","No, intensive care unit","Number","223","units","0","v1478293933","1.2.2.7","146442","","","","0"
"2023","Canada","2016A000011124","Male","0 to 19 years","Not stated, intensive care unit","Number","223","units","0","v1478293934","1.2.2.8","221733","","","","0"
"2023","Canada","2016A000011124","Male","0 to 19 years","Total, by death status","Number","223","units","0","v1478293935","1.2.2.9","368726","","","","0"
"2023","Canada","2016A000011124","Male","0 to 19 years","Yes, deceased","Number","223","units","0","v1478293936","1.2.2.10","0","","","","0"
"2023","Canada","2016A000011124","Male","0 to 19 years","No, not deceased","Number","223","units","0","v1478293937","1.2.2.11","230140","","","","0"
"2023","Canada","2016A000011124","Male","0 to 19 years","Not stated, deceased","Number","223","units","0","v1478293938","1.2.2.12","138586","","","","0"
"2023","Canada","2016A000011124","Male","20 to 29 years","Total, by hospitalization status","Number","223","units","0","v1478293939","1.2.3.1","324589","","","","0"
"2023","Canada","2016A000011124","Male","20 to 29 years","Yes, hospitalized","Number","223","units","0","v1478293940","1.2.3.2","3444","","","","0"
"2023","Canada","2016A000011124","Male","20 to 29 years","No, hospitalized","Number","223","units","0","v1478293941","1.2.3.3","120448","","","","0"
"2023","Canada","2016A000011124","Male","20 to 29 years","Not stated, hospitalized","Number","223","units","0","v1478293942","1.2.3.4","200697","","","","0"
"2023","Canada","2016A000011124","Male","20 to 29 years","Total, by intensive care unit admittance","Number","223","units","0","v1478293943","1.2.3.5","324589","","","","0"
"2023","Canada","2016A000011124","Male","20 to 29 years","Yes, intensive care unit","Number","223","units","0","v1478293944","1.2.3.6","506","","","","0"
"2023","Canada","2016A000011124","Male","20 to 29 years","No, intensive care unit","Number","223","units","0","v1478293945","1.2.3.7","123386","","","","0"
"2023","Canada","2016A000011124","Male","20 to 29 years","Not stated, intensive care unit","Number","223","units","0","v1478293946","1.2.3.8","200697","","","","0"
"2023","Canada","2016A000011124","Male","20 to 29 years","Total, by death status","Number","223","units","0","v1478293947","1.2.3.9","324589","","","","0"
"2023","Canada","2016A000011124","Male","20 to 29 years","Yes, deceased","Number","223","units","0","v1478293948","1.2.3.10","0","","","","0"
"2023","Canada","2016A000011124","Male","20 to 29 years","No, not deceased","Number","223","units","0","v1478293949","1.2.3.11","212647","","","","0"
"2023","Canada","2016A000011124","Male","20 to 29 years","Not stated, deceased","Number","223","units","0","v1478293950","1.2.3.12","111942","","","","0"
"2023","Canada","2016A000011124","Male","30 to 39 years","Total, by hospitalization status","Number","223","units","0","v1478293951","1.2.4.1","305505","","","","0"
"2023","Canada","2016A000011124","Male","30 to 39 years","Yes, hospitalized","Number","223","units","0","v1478293952","1.2.4.2","5680","","","","0"
"2023","Canada","2016A000011124","Male","30 to 39 years","No, hospitalized","Number","223","units","0","v1478293953","1.2.4.3","118888","","","","0"
"2023","Canada","2016A000011124","Male","30 to 39 years","Not stated, hospitalized","Number","223","units","0","v1478293954","1.2.4.4","180937","","","","0"
"2023","Canada","2016A000011124","Male","30 to 39 years","Total, by intensive care unit admittance","Number","223","units","0","v1478293955","1.2.4.5","305505","","","","0"
"2023","Canada","2016A000011124","Male","30 to 39 years","Yes, intensive care unit","Number","223","units","0","v1478293956","1.2.4.6","1056","","","","0"
"2023","Canada","2016A000011124","Male","30 to 39 years","No, intensive care unit","Number","223","units","0","v1478293957","1.2.4.7","123512","","","","0"
"2023","Canada","2016A000011124","Male","30 to 39 years","Not stated, intensive care unit","Number","223","units","0","v1478293958","1.2.4.8","180937","","","","0"
"2023","Canada","2016A000011124","Male","30 to 39 years","Total, by death status","Number","223","units","0","v1478293959","1.2.4.9","305505","","","","0"
"2023","Canada","2016A000011124","Male","30 to 39 years","Yes, deceased","Number","223","units","0","v1478293960","1.2.4.10","0","","","","0"
"2023","Canada","2016A000011124","Male","30 to 39 years","No, not deceased","Number","223","units","0","v1478293961","1.2.4.11","197258","","","","0"
"2023","Canada","2016A000011124","Male","30 to 39 years","Not stated, deceased","Number","223","units","0","v1478293962","1.2.4.12","108247","","","","0"
"2023","Canada","2016A000011124","Male","40 to 49 years","Total, by hospitalization status","Number","223","units","0","v1478293963","1.2.5.1","264372","","","","0"
"2023","Canada","2016A000011124","Male","40 to 49 years","Yes, hospitalized","Number","223","units","0","v1478293964","1.2.5.2","8383","","","","0"
"2023","Canada","2016A000011124","Male","40 to 49 years","No, hospitalized","Number","223","units","0","v1478293965","1.2.5.3","95895","","","","0"
"2023","Canada","2016A000011124","Male","40 to 49 years","Not stated, hospitalized","Number","223","units","0","v1478293966","1.2.5.4","160094","","","","0"
"2023","Canada","2016A000011124","Male","40 to 49 years","Total, by intensive care unit admittance","Number","223","units","0","v1478293967","1.2.5.5","264372","","","","0"
"2023","Canada","2016A000011124","Male","40 to 49 years","Yes, intensive care unit","Number","223","units","0","v1478293968","1.2.5.6","1753","","","","0"
"2023","Canada","2016A000011124","Male","40 to 49 years","No, intensive care unit","Number","223","units","0","v1478293969","1.2.5.7","102525","","","","0"
"2023","Canada","2016A000011124","Male","40 to 49 years","Not stated, intensive care unit","Number","223","units","0","v1478293970","1.2.5.8","160094","","","","0"
"2023","Canada","2016A000011124","Male","40 to 49 years","Total, by death status","Number","223","units","0","v1478293971","1.2.5.9","264372","","","","0"
"2023","Canada","2016A000011124","Male","40 to 49 years","Yes, deceased","Number","223","units","0","v1478293972","1.2.5.10","0","","","","0"
"2023","Canada","2016A000011124","Male","40 to 49 years","No, not deceased","Number","223","units","0","v1478293973","1.2.5.11","164842","","","","0"
"2023","Canada","2016A000011124","Male","40 to 49 years","Not stated, deceased","Number","223","units","0","v1478293974","1.2.5.12","99530","","","","0"
"2023","Canada","2016A000011124","Male","50 to 59 years","Total, by hospitalization status","Number","223","units","0","v1478293975","1.2.6.1","241743","","","","0"
"2023","Canada","2016A000011124","Male","50 to 59 years","Yes, hospitalized","Number","223","units","0","v1478293976","1.2.6.2","14843","","","","0"
"2023","Canada","2016A000011124","Male","50 to 59 years","No, hospitalized","Number","223","units","0","v1478293977","1.2.6.3","77330","","","","0"
"2023","Canada","2016A000011124","Male","50 to 59 years","Not stated, hospitalized","Number","223","units","0","v1478293978","1.2.6.4","149570","","","","0"
"2023","Canada","2016A000011124","Male","50 to 59 years","Total, by intensive care unit admittance","Number","223","units","0","v1478293979","1.2.6.5","241743","","","","0"
"2023","Canada","2016A000011124","Male","50 to 59 years","Yes, intensive care unit","Number","223","units","0","v1478293980","1.2.6.6","3872","","","","0"
"2023","Canada","2016A000011124","Male","50 to 59 years","No, intensive care unit","Number","223","units","0","v1478293981","1.2.6.7","88301","","","","0"
"2023","Canada","2016A000011124","Male","50 to 59 years","Not stated, intensive care unit","Number","223","units","0","v1478293982","1.2.6.8","149570","","","","0"
"2023","Canada","2016A000011124","Male","50 to 59 years","Total, by death status","Number","223","units","0","v1478293983","1.2.6.9","241743","","","","0"
"2023","Canada","2016A000011124","Male","50 to 59 years","Yes, deceased","Number","223","units","0","v1478293984","1.2.6.10","1015","","","","0"
"2023","Canada","2016A000011124","Male","50 to 59 years","No, not deceased","Number","223","units","0","v1478293985","1.2.6.11","150822","","","","0"
"2023","Canada","2016A000011124","Male","50 to 59 years","Not stated, deceased","Number","223","units","0","v1478293986","1.2.6.12","89906","","","","0"
"2023","Canada","2016A000011124","Male","60 to 69 years","Total, by hospitalization status","Number","223","units","0","v1478293987","1.2.7.1","178258","","","","0"
"2023","Canada","2016A000011124","Male","60 to 69 years","Yes, hospitalized","Number","223","units","0","v1478293988","1.2.7.2","22761","","","","0"
"2023","Canada","2016A000011124","Male","60 to 69 years","No, hospitalized","Number","223","units","0","v1478293989","1.2.7.3","52389","","","","0"
"2023","Canada","2016A000011124","Male","60 to 69 years","Not stated, hospitalized","Number","223","units","0","v1478293990","1.2.7.4","103108","","","","0"
